file,rows,latest_date,history_days,generated_at,runtime_seconds
stock_history_1y.rds,629060,2026-06-18,365,2026-06-18 22:32:46.62716,162
etf_history_1y.rds,29505,2026-06-18,365,2026-06-18 22:32:46.62716,162
x5i_1y.rds,10,2026-06-18,365,2026-06-18 22:32:46.62716,162
x9i_1y.rds,10,2026-06-18,365,2026-06-18 22:32:46.62716,162
x14i_1y.rds,10,2026-06-18,365,2026-06-18 22:32:46.62716,162
x21i_1y.rds,10,2026-06-18,365,2026-06-18 22:32:46.62716,162
x30i_1y.rds,10,2026-06-18,365,2026-06-18 22:32:46.62716,162
sumi_1y.rds,10,2026-06-18,365,2026-06-18 22:32:46.62716,162
xmeans_1y.rds,3224,2026-06-18,365,2026-06-18 22:32:46.62716,162
ss_melt_1y.rds,102636,2026-06-18,365,2026-06-18 22:32:46.62716,162
indmeans_1y.rds,440109,2026-06-18,365,2026-06-18 22:32:46.62716,162
etf_melt_1y.rds,295050,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_top50_rank_1y.rds,50,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_top20_changes_1y.rds,24,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_top50_tenure_1y.rds,50,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_vol_top50_1y.rds,50,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_plot_lr_1y.rds,44631,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_topN_events_vol_1y.rds,12400,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_file_inventory_1y.rds,248,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_continuity_check_1y.rds,2389,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_continuity_exclusions_1y.rds,214,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_stock_master_daily_1y.rds,488392,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_daily_ranked_universe_1y.rds,488392,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_curr_topN_1y.rds,50,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_prev_topN_1y.rds,50,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_curr_lifecycle_topN_1y.rds,20,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_prev_lifecycle_topN_1y.rds,20,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_topN_events_vol_today_1y.rds,50,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_topN_exits_vol_1y.rds,10,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_alert_entries_1y.rds,517,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_entry_snapshot_1y.rds,517,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_entry_snapshot_audit_1y.rds,517,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_signal_lifecycle_daily_1y.rds,69098,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_active_signals_today_1y.rds,53,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_status_changes_today_1y.rds,35,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_broken_signals_today_1y.rds,454,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_signal_status_summary_today_1y.rds,4,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_quad_points_1y.rds,20,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_eqmi_daily_1y.rds,43,2026-06-18,365,2026-06-18 22:32:46.62716,162
eqi_eqmi_sector_daily_1y.rds,516,2026-06-18,365,2026-06-18 22:32:46.62716,162
loessdata_1y.rds,7302546,2026-06-18,365,2026-06-18 22:32:46.62716,162
x30x21_1y.rds,122,2026-06-18,365,2026-06-18 22:32:46.62716,162
x21x14_1y.rds,86,2026-06-18,365,2026-06-18 22:32:46.62716,162
x14x9_1y.rds,112,2026-06-18,365,2026-06-18 22:32:46.62716,162
x9x5_1y.rds,97,2026-06-18,365,2026-06-18 22:32:46.62716,162
x30x14_1y.rds,77,2026-06-18,365,2026-06-18 22:32:46.62716,162
loessdata_etf_1y.rds,531090,2026-06-18,365,2026-06-18 22:32:46.62716,162
etf30x21_1y.rds,12,2026-06-18,365,2026-06-18 22:32:46.62716,162
etf21x14_1y.rds,4,2026-06-18,365,2026-06-18 22:32:46.62716,162
etf14x9_1y.rds,6,2026-06-18,365,2026-06-18 22:32:46.62716,162
etf9x5_1y.rds,11,2026-06-18,365,2026-06-18 22:32:46.62716,162
etf30x14_1y.rds,9,2026-06-18,365,2026-06-18 22:32:46.62716,162
